GeneSymbol	Endothelial	CAFs	PVL	B_cells	T_cells	Myeloid	Normal_Epithelial	Cancer_Epithelial
BASP1	1	122.671064786262	1	152.142729147107	1	317.197643422998	1	1
BATF	1	1	1	1	890.185351556689	1	294.092796002276	1
BAZ1B	1	119.08725398543	1	1	1	1	1	232.497024663903
BAZ2A	147.263763785288	1	1	1	1	1	1	1
BBIP1	1	1	169.687013486346	1	1	1	1	1
BCAM	1371.28414748889	1	896.877081962497	1	1	1	920.07717451007	305.284493307564
BCAR1	183.583503442189	1	1	1	1	1	1	1
BCAT1	1	1	1	1	1	153.140183310538	1	1
BCL10	1	1	1	1	1	1	171.438070339919	1
BCL11B	1	1	1	1	323.843811184537	1	1	1
BCL2A1	1	1	1	1	1	1544.41647749839	1	1
BCL2L1	1	1	152.537942295253	1	1	106.290277425102	1	1
BCL2L12	1	1	1	1	1	1	1	199.780786198541
BCL6B	178.65745652699	1	1	1	1	1	1	1
BCL7C	1	122.635439936167	1	1	1	1	1	1
BET1L	1	1	1	91.5707188251315	1	1	1	1
BICC1	1	272.973066329723	1	1	1	1	1	1
BIN1	1	114.700193014953	1	1	387.368601130769	124.392252497895	1	189.98259438282
BIN2	1	1	1	1	509.204361580974	140.332331569401	1	1
BIRC2	1	136.428120866083	1	1	270.3101274315	125.477881859034	140.954989446169	1
BIRC3	1	1	1	928.531596897129	2530.02543150302	903.735786581414	368.088713306955	1
BIRC5	1	1	1	1	1	1	1	322.766401451901
BIRC6	156.007708434022	1	1	1	236.389875448507	113.607901009586	1	1
BLCAP	1	1	1	1	1	1	226.383835242616	164.571121663219
BLNK	1	1	1	181.665844731011	1	1	1	1
BLOC1S6	1	130.628552528907	1	1	1	187.761261550073	1	1
BMP1	1	227.029715103611	197.367816425898	1	1	1	1	1
BMP2K	1	1	1	1	1	202.217412293636	1	1
BMPR2	375.894723174286	1	1	1	1	1	1	1
BNC2	1	134.426366231816	1	1	1	1	1	1
BNIP3	143.808939069055	187.986610746786	1	1	1	1	256.495042884996	822.416711936666
BOC	1	208.517724670159	1	1	1	1	1	1
BOD1	1	1	1	1	1	1	1	173.792294302349
BOD1L1	1	1	1	1	1	108.92834931431	1	1
BRI3	266.631209668897	188.377293740402	1	1	1	494.917447574847	1	1
BRIX1	1	1	1	1	1	1	165.048422610143	298.270736380264
BROX	1	1	1	1	1	1	1	202.72304251923
BSDC1	1	134.039593526687	1	1	1	1	141.585939737962	1
BTN3A2	158.077721617041	1	1	111.379827259674	491.561660649276	1	1	1
BTNL9	461.012078898258	1	1	1	1	1	1	1
BZW2	169.355665115702	1	1	1	1	1	233.753700695675	682.53528878731
C10orf10	1036.90602512707	485.538141559914	938.962426156099	1	1	1	501.893150035888	1
C10orf128	273.176380650351	1	1	1	1	1	1	1
C11orf1	1	1	1	1	1	1	303.100893494586	207.858606942332
C11orf24	1	145.325001842317	1	113.683882390822	1	1	1	1
C11orf96	1	316.017815942045	1330.14605071398	1	1	1	1	1
C12orf45	1	1	1	1	1	169.96891185067	1	206.910383258722
C12orf75	1	280.223795513525	512.816296130378	1	554.973360519865	1	1	1
C15orf48	1	1	1	1	1	3766.77982414082	439.319039116753	343.256564779491
C16orf72	147.5107702562	1	1	1	1	115.391507910327	1	1
C17orf62	195.595869198258	137.254948403265	1	155.096490420143	286.254745003703	182.895606912907	1	1
C18orf32	1	1	1	1	1	134.024296051203	1	161.254517748315
C19orf33	1	1	1	1	1	1	1	279.747917233801
C19orf38	1	1	1	1	1	122.369804048898	1	1
C19orf48	1	1	1	1	1	1	172.245555856357	304.731112586264
C1orf162	1	1	1	1	1	1103.31241674853	1	1
C1orf186	1	1	1	122.785933762066	1	1	1	1
C1orf198	1	1	1	1	1	1	1	184.361359853704
C1orf35	1	1	1	1	1	1	1	257.652090123746
C1QA	1	1	1	1	1	5419.31896050698	1	1
C1QB	1	1	1	1	1	6183.09044886208	1	1
C1QC	1	1	1	1	1	5028.84894554295	1	1
C1QTNF1	1	1	608.566539290761	1	1	1	1	1
C1QTNF2	1	1	167.669601377697	1	1	1	1	1
C1QTNF4	1	105.868875079514	1	1	1	1	1	1
C1QTNF6	1	176.359207071218	1	1	1	1	1	1
C1R	1	2257.48761314835	1091.49630830223	1	1	1	199.057286005137	1
C1S	1	4037.54373933145	1112.87345342611	1	1	1	259.76924264026	1
C20orf27	1	1	483.576716609534	1	1	206.661784559703	1	375.520554655403
C21orf59	169.578073906311	1	1	1	1	1	1	166.659939108445
C22orf39	1	1	1	1	1	1	1	159.263966358598
C2orf40	1	1	594.687098113829	1	1	1	1077.40818781194	1
C3	1	1162.79093215278	1	1	1	245.31263237709	1	1
C3AR1	1	1	1	1	1	281.163096608432	1	1
C3orf14	1	1	1	1	1	1	206.073974203587	302.547948212595
C4orf27	1	152.601577271237	223.775262656726	1	1	1	1	1
C4orf32	266.034463426873	1	226.350943472504	1	1	1	1	1
C5AR1	1	1	1	1	1	657.007499673631	1	1
C5orf24	183.297347932123	111.637758685435	220.087116105627	1	1	1	1	1
C5orf56	1	138.945889530759	1	118.724081634103	326.693365299374	1	1	1
C6orf89	121.026546032458	176.924942386681	1	1	1	1	1	1
C9orf3	260.687520537113	1	392.991512278805	1	1	1	1	1
C9orf72	1	1	1	1	1	175.919930924115	1	1
CA2	1	1	1	1	1	1	288.805932300314	1
CAB39	1	1	1	1	1	111.307004133639	1	1
CABIN1	1	1	229.67023814342	1	1	1	1	1
CALCOCO1	1	116.042934901708	1	1	1	1	1	1
CALCRL	1494.00748230515	1	1	1	1	1	1	1
CALD1	1001.55361638361	4597.27312961826	8491.85546739532	1	1	1	1518.12919172248	651.321573748236
CALHM2	164.466870461439	143.538397123921	266.117985778062	1	1	1	1	1
CALML3	1	1	1	1	1	1	657.554161340611	1
CALML5	1	1	1	1	1	1	664.245407731023	2230.51837178346
CAMK1	1	1	176.457484911054	1	1	152.150418960906	1	1
CAMK2D	1	135.199308968377	1	1	1	1	1	1
CAMK2G	1	1	160.666249373653	1	1	1	1	1
CAMK2N1	1	1	163.439181885494	1	1	1	1	1
CAMK4	1	1	1	1	492.773883904079	1	1	1
CAND1	1	118.859050800899	1	1	218.827155612702	1	186.462957203516	1
CAP2	1	1	161.997071040724	1	1	1	1	1
CAPNS1	324.07770660262	121.646027607561	1	1	1	197.116345843672	1	1
CARD16	411.771293742282	1	1	1	829.421865023176	577.305267969701	1	1
CARD8	202.161484617531	1	1	1	1	102.825854857028	1	1
CARMN	1	1	304.096590667222	1	1	1	1	1
CASC4	1	209.215565162014	1	1	1	1	1	1
CASKIN2	183.776604379006	1	1	1	1	1	1	1
CASP1	173.645501175727	1	1	1	332.737915409199	333.412618739322	1	1
CASP8	1	1	1	1	305.840092975068	1	1	1
CASQ2	1	1	405.042103544471	1	1	1	1	1
CAV1	3542.91208795277	555.818196548222	3573.9072682786	92.5773153662866	1	1	433.163097685551	674.902898989617
CAV2	689.540649523376	126.307112895963	860.552279713018	1	1	1	204.400159779546	267.211666358125
CBLB	153.220343306389	110.948150105084	1	1	661.446829140636	1	1	1
CBR3	1	1	1	1	1	1	1	176.384553753635
CBX5	1	113.158651126094	1	1	1	1	1	184.862213270858
CBX6	1	1	247.92276226243	1	1	1	1	1
CC2D1A	1	1	1	1	1	1	265.73757501235	1
CCDC102B	1	1	437.415213278929	1	1	1	1	1
CCDC109B	214.227619455827	139.914976266247	1	1	436.081257264951	243.558149222599	1	1
CCDC167	1	1	1	90.138745904399	334.524964540775	1	1	241.835694433521
CCDC186	1	129.856080017198	1	1	1	1	159.897182564826	1
CCDC28A	1	1	1	1	1	99.465135741124	1	1
CCDC3	1	1	267.849450798954	1	1	1	1	1
CCDC50	415.871544608578	142.024217409429	188.277220355494	219.869695125585	1	287.842109762493	125.06596034582	1
CCDC57	1	1	1	1	1	1	146.34503857554	1
CCDC58	1	1	1	1	1	1	1	193.276233471166
CCDC6	1	1	1	1	1	1	146.731961546222	223.344583437391
CCDC69	205.400043820776	1	1	106.663565518158	1	1	1	1
CCDC74A	1	1	1	1	1	1	152.295828135703	1
CCDC80	1	2341.79358047331	253.631931473722	1	1	1	1	1
CCDC82	160.777440557543	1	1	1	1	1	1	1
CCDC88A	1	1	1	1	1	345.719374720643	1	1
CCDC91	1	1	1	1	1	1	146.751438406797	1
CCL14	383.775193414856	1	1	1	1	1	1	1
CCL19	1	1	2264.19162071938	1	1	1	1	1
CCL2	1231.76707837902	1439.67412188483	4867.59010208949	1	1	1548.88699813273	2146.45646930775	1
CCL20	1	1	1	1	1	691.695486620777	1	1
CCL21	1	1	867.001736871526	1	1	1	1	1
CCL28	1	1	1	1	1	1	660.662267057121	1
CCL3	1	1	1	1	961.428712686965	5424.25374021802	1	1
CCL3L3	1	1	1	1	1	2212.53908640904	1	1
CCL4	1	1	1	1	12664.367462979	5210.52034360179	1	1
CCL4L2	1	1	1	1	2494.93170018105	2662.59733050269	1	1
CCL5	1	1	1	1	8947.06408694254	236.815398339828	1	1
CCL8	1	1	925.444375629892	1	1	1	1	1
CCNB1	1	1	1	1	1	1	1	219.981769830442
CCNB1IP1	1	108.723355178585	1	1	1	1	252.13809964744	230.09590349695
CCNC	1	121.66398517143	1	103.096801533491	1	1	279.208204777321	437.066318959475
CCND2	1	192.995460640702	222.293788921505	126.249187487446	464.402487887781	1	1	1
CCNL2	232.373498694918	1	1	1	1	1	1	1
CCR1	1	1	1	1	1	156.104811534483	1	1
CCR7	1	1	1	366.548458277303	897.04835482478	1	1	1
CCRL2	1	1	1	1	1	250.445432404459	1	1
CCSER2	172.293584735833	126.42644058672	162.790402630203	1	320.685058155732	1	1	1
CD14	1	1	1	1	1	1639.52709621218	354.622233985663	1
CD163	1	1	1	1	1	442.953519274353	1	1
CD19	1	1	1	179.405696305512	1	1	1	1
CD2	1	1	1	1	3038.70277441462	1	1	1
CD200	341.658326171739	1	1	1	1	1	1	1
CD24	1	1	1	630.771137032144	1	1	2721.41475301663	17282.9908019125
CD247	1	1	1	1	733.142159297206	1	1	1
CD248	1	447.742659036518	365.619038691322	1	1	1	1	1
CD27	1	1	1	371.357400985975	876.012352732246	1	1	1
CD276	1	231.986516856361	1	1	1	1	1	1
CD28	1	1	1	1	305.61572947218	1	1	1
CD2AP	160.743201551864	1	1	1	1	113.171488819907	1	1
CD300A	1	1	1	1	1	247.708871042852	1	1
CD300E	1	1	1	1	1	240.809999479428	1	1
CD302	1	139.411747382381	1	1	1	177.214944954239	1	1
CD320	712.533681225643	1	1	1	1	1	1	190.403548545889
CD33	1	1	1	1	1	146.506210512438	1	1
CD34	1153.13530888528	152.305389689424	1	1	1	1	1	1
CD36	1164.69067031404	1	747.868519932451	1	1	251.316791811087	1	1
CD37	1	1	1	1915.81762211898	1859.24607072479	929.743137592383	1	1
CD38	1	1	1	256.193553341152	1	1	1	1
CD3D	1	1	1	1	3116.33312638954	1	1	1
CD3E	1	1	1	1	3438.76622521716	1	1	1
CD3G	1	1	1	1	1077.49682612831	1	1	1
CD4	1	1	1	1	1	445.879114605546	1	1
CD40	347.137417518418	145.334587477372	140.574480253895	204.59415344906	1	207.145170804216	1	1
CD48	1	1	1	471.592614901366	1311.74798310367	439.706614192848	1	1
CD5	1	1	1	1	323.080400879342	1	1	1
CD52	1	1	1	2033.2460199291	5291.2784691526	808.636459902998	1	1
CD53	1	1	1	484.813060187836	1272.88239328094	723.938395690343	1	1
CD58	232.814932331467	1	1	1	270.190213665928	171.076677652703	1	1
CD6	1	1	1	1	532.977903444739	1	1	1
CD68	1	142.92012174698	1	1	1	2703.53202178218	1	1
CD69	1	1	1	1813.30432632732	6290.10837621727	210.373109310965	1	1
CD7	1	1	1	1	2824.48453821764	1	1	1
CD72	1	1	1	1	1	111.683091682996	1	1
CD74	19731.6105474225	675.610328255066	491.727266771339	17918.4431192217	6183.53218825514	50503.3254075368	6349.77833453217	2444.3492683444
CD79A	1	1	1	2155.94140937938	1	1	1	1
CD79B	169.384246784601	1	1	533.604977496102	1	1	1	1
CD82	1	1	1	1	557.930514131016	127.866861944058	276.070429305707	294.406692693921
CD83	1	1	1	1513.07640879531	361.950912884046	2006.86772138776	1	1
CD84	1	1	1	1	1	203.506663009501	1	1
CD86	1	1	1	1	1	413.507585822298	1	1
CD8A	1	1	1	1	1218.402503142	1	1	1
CD8B	1	1	1	1	751.707587117328	1	1	1
CD93	1010.20034212983	1	1	1	1	302.436288387778	1	1
CD96	1	1	1	1	1010.56059620371	1	1	1
CDA	164.025090502112	1	1	1	1	1	1	1
CDC14A	1	1	1	1	231.508586982067	1	1	1
CDC20	1	1	1	1	1	1	1	260.985347768626
CDC27	154.448644195791	1	1	1	1	1	1	1
CDC40	1	123.627501180192	1	1	1	116.430580713698	1	1
CDC42BPA	190.088952309226	1	137.85720628697	1	1	1	1	1
CDC42EP3	576.137328341786	1	1	1	482.775778093056	1	320.200197658313	1
CDC42SE2	1	1	1	174.42737385113	895.321477930679	179.387484160347	1	1
CDC5L	1	116.757237141123	1	1	1	1	137.861672255217	1
CDC73	1	1	1	1	1	1	124.694335415538	170.414820004424
CDH1	1	1	1	1	1	1	171.100565511901	1
CDH11	1	591.06801537785	1	1	1	1	1	1
CDH13	253.603446338409	1	1	1	1	1	1	1
CDH5	676.123271793365	1	1	1	1	1	1	1
CDH6	1	1	388.273610207497	1	1	1	1	1
CDK1	1	1	1	1	1	1	1	261.743051823658
