GeneSymbol	T_cell	Endothelial_cell	B_cell	Fibroblast	Cancer_cell	Myeloid_cell	Mast_cell	pDC
AQP1	1	2704.75838475312	1	150.81708294798	1	1	1	1
AQP3	304.637299989357	1	1	1	313.880740141761	1	1	1
AQP7	1	106.055145513054	1	1	1	1	1	1
AQP9	1	1	1	1	1	248.043083355107	1	1
ARAP1	1	1	1	93.8304509917011	1	162.955154558979	1	1
ARAP2	365.026132270608	1	162.987532642755	1	1	1	1	105.178830613184
ARAP3	1	207.620403563427	1	1	1	1	1	1
AREG	890.242365300533	1	245.285816765823	1	548.984986353115	716.703411445068	9016.62873348249	2014.07530478953
ARHGAP10	1	1	1	132.942172053658	1	113.457885752181	1	1
ARHGAP15	668.944237010203	1	514.703993401293	1	1	71.4899059604694	387.501785607953	222.534061225938
ARHGAP17	1	138.732671840687	294.824573862429	109.932498705773	1	96.7853073073295	1	441.2572931607
ARHGAP18	1	221.614776879588	1	1	1	498.741349477402	1579.0631343894	312.414065140296
ARHGAP23	1	143.349170608422	1	1	1	1	1	1
ARHGAP24	1	1	701.20411717965	113.228860562281	1	1	1	240.562279600908
ARHGAP25	263.786201814337	1	276.490604372331	1	1	70.1655523523026	362.654575854441	99.8225270012206
ARHGAP26	1	1	1	1	1	82.9221728065748	1	1
ARHGAP29	1	797.646618525855	1	134.762292481057	165.314148355834	1	1	1
ARHGAP30	477.265301107997	1	297.681462864862	1	1	192.916798746461	1	211.268596807468
ARHGAP45	448.106216352395	1	319.247356210998	1	1	127.892721306005	1	156.815824121725
ARHGAP6	1	1	1	1	1	1	329.08325867829	1
ARHGAP9	619.458372270561	1	373.160493292063	1	1	105.418044050426	1	354.412068282804
ARHGEF10L	1	1	1	1	1	83.8792330279545	1	1
ARHGEF15	1	330.783602218639	1	1	1	1	1	1
ARHGEF17	1	1	1	142.358882494262	1	1	1	1
ARHGEF40	1	1	1	90.4334878236229	1	1	1	1
ARHGEF6	196.085724492704	1	1	1	1	75.1867273006398	944.461331046975	67.958732275927
ARHGEF9	1	1	1	1	226.800483783588	1	1	1
ARID3A	1	1	1	1	1	1	1	256.787292552902
ARID3B	1	1	1	1	1	1	1	108.770453151907
ARL11	1	1	1	1	1	60.3461716725303	1	1
ARL15	1	231.571855499097	1	1	1	1	1	1
ARL4A	1	406.838394366279	1	1	95.1822528217966	145.679855653488	1	1
ARL4C	639.122884026413	1	1	1	1	264.549310286172	1	668.557976892803
ARL8A	1	1	1	1	60.0110809453938	86.4056027281503	1	1
ARMC5	1	1	1	1	1	1	1	109.50317709003
ARMCX1	1	1	1	83.4701846197665	1	1	1	1
ARMCX2	1	1	1	100.757817891437	1	1	1	1
ARMH1	1	1	1	1	1	1	521.411967510684	142.06229490785
ARMT1	1	1	1	1	241.196356321806	1	1	1
ARSD	1	1	1	1	77.3497477204903	1	110.20088032418	1
ASF1A	190.852673360372	68.7616540777438	1	1	68.3842435584422	1	1	95.4772781923045
ASGR1	1	1	1	1	1	114.545756825228	1	1
ASIP	1	1	1	1	1	1	1	203.720549020026
ASNS	1	1	1	1	132.772472347625	1	1	1
ASPN	1	1	1	346.036198734757	1	1	1	1
ASRGL1	1	110.020183523044	1	1	70.6212830608189	1	335.279263358483	1
ASS1	1	361.101482184064	1	107.517473639406	748.093115481716	1	1	1
ATAD2	1	1	1	1	124.741875338178	1	1	1
ATAD2B	1	1	1	1	1	1	1	195.541347300836
ATF3	1	1	1	169.668236713866	141.431430104576	621.037718312797	1	190.99754239569
ATF5	1	1	1	1	171.087159277908	479.115229614755	1	407.848336554264
ATG16L2	1	67.9170404915084	177.392249275717	1	1	88.7557822308677	238.968957070019	81.8417710965813
ATG4C	1	1	1	1	1	1	1	73.5196292692546
ATG7	1	1	1	1	1	102.325432686972	1	1
ATP11A	1	101.629683599656	1	1	1	1	1	1
ATP11B	1	1	1	1	1	1	1	123.480969710672
ATP11C	1	133.796128558771	1	1	1	1	1	1
ATP13A2	1	104.006385325166	1	1	59.4244866994118	1	1	375.391259728071
ATP1B1	1	1	1	1	356.702793688388	98.3189345441127	286.939473718501	1
ATP2A3	272.162742560925	1	356.281716132925	1	1	1	255.076090265793	225.624057174971
ATP2B1.AS1	1	1	202.546089671755	1	1	342.034162519856	1	1
ATP6V0A2	1	1	1	1	1	1	960.565092674028	112.951832464449
ATP6V0E2	330.359479214762	1	1	1	112.711197464964	1	1	1
ATP6V1B1	1	1	1	1	125.663123846459	1	1	1
ATP6V1B2	1	1	1	101.336326761397	70.4921896212079	518.692889403454	1	145.649043504756
ATP8A1	207.441199878039	100.138330386344	142.241561715583	1	1	1	1	135.729447208991
ATP8B4	1	1	1	1	1	1	247.037329266309	1
ATP9A	1	1	1	1	95.9732154122761	1	1	1
ATP9B	1	1	1	1	1	1	1	83.9051236505113
ATPAF2	1	1	1	1	1	63.2277843128928	1	128.628002451068
ATXN1	188.079587601885	1	1	135.928943526335	54.3496825898403	99.2591584329012	376.161490258772	1
ATXN2	1	113.913750742446	1	112.946583230318	89.4740500332152	62.2049551468195	227.498311744259	1
ATXN7	175.523927245087	1	1	1	1	1	1	1
AVPR2	1	100.298738296715	1	1	1	1	1	1
AXL	1	1	1	153.904769357367	1	111.087063568114	1	1
AZGP1	1	1	1	1	4683.01626471086	1	1	1
AZIN2	1	1	1	1	1	1	1	194.039823248897
B3GNT5	1	1	1	1	1	117.320781100411	1	1
BABAM2	1	1	1	1	69.6642754893882	1	238.215141582675	1
BACE2	1	281.285922541975	1	102.72240907515	398.73512076124	1	748.218960687109	1
BACH1	1	1	1	81.6604871556919	1	211.232795307902	197.641267924462	1
BAG4	1	1	1	1	96.0474078989915	1	1	1
BAIAP2L1	1	1	1	1	135.531081215774	1	1	1
BAK1	136.745459319289	1	1	1	50.66534315659	60.1188446802937	1	1
BAMBI	1	1	1	1	384.172484462306	1	1	1
BANK1	1	1	1467.22002661395	1	1	1	1	1
BANP	1	1	1	1	1	1	1	85.0392552912553
BASP1	1	1	568.306885040576	180.084072882354	1	220.983970096076	1	1
BATF	916.398393622415	1	1	1	1	94.4559718735448	348.525428752323	1
BCAM	1	1380.9784879301	1	203.189566002415	456.192696003954	1	1	1
BCAR1	1	168.628510463664	1	72.989305015809	1	1	1	1
BCAS4	1	1	486.390519512429	1	138.663435391517	1	1	1
BCAT1	1	1	1	1	1	239.581057186186	1	106.87831831299
BCL11A	1	1	303.172269297578	1	113.953077467366	1	1	1323.68773085256
BCL11B	375.965978836572	1	1	1	1	1	1	1
BCL2	182.979581782601	1	267.679088424467	1	79.3612673122839	1	1	1
BCL2A1	1	1	309.558759894317	1	1	974.841862899262	258.072066582414	1
BCL2L11	1	1	1	1	1	1	1	178.757137473421
BCL6B	1	208.601343257952	1	1	1	1	1	1
BCL7A	1	1	1	1	75.2425540498668	1	1	292.353829728801
BCR	1	130.85667614585	1	1	1	1	1	1
BEST1	1	1	1	1	1	209.116620759751	1	1
BEX2	1	1	155.666860701211	1	76.5895086317349	1	1	1
BEX4	1	95.2649610721856	1	141.999026924273	121.526966968994	135.56207887556	779.840701061538	271.282125053576
BGN	1	396.241772516301	1	2372.57081907373	277.982235952277	1	1	1
BHLHE41	1	1	181.582486948221	1	1	1	1	1
BICC1	1	1	1	214.317471957087	1	1	1	1
BIN1	431.210925467122	1	343.465608384254	118.040054925594	1	74.6672795862585	1	110.984243285705
BIN2	525.676376108543	1	176.167978618678	1	1	142.299411017228	1	151.916306827004
BISPR	1	1	1	1	1	1	1	103.21313272918
BLK	1	1	614.567163205227	1	1	1	1	194.742495189219
BLNK	1	1	557.849621517101	1	1	1	1	642.354493182566
BLOC1S4	157.628893543033	1	1	69.9160446612283	75.6828359269236	1	1	1
BLVRA	1	72.3706499848835	1	110.86182476927	122.352725401577	304.172510360709	669.692250990588	1
BLVRB	1	125.897462789846	1	209.620495613563	533.23986162028	1042.59670225783	1	89.721322431046
BMF	1	1	1	1	1	1	1	124.789810442765
BMP1	1	96.32083874687	1	186.613210565001	1	1	1	1
BMP2K	1	1	1	1	1	211.186891046459	659.985024204142	1
BNC2	1	1	1	129.362998799495	1	1	1	1
BOC	1	1	1	238.692620901325	62.3154014874266	1	1	1
BOLA1	1	1	1	1	95.8106005367969	1	1	1
BORCS5	181.291365148706	1	1	1	58.5757310807325	1	1	84.8499321587684
