"B_cell","Cancer_cell","Endothelial_cell","Fibroblast","Mast_cell","Myeloid_cell","pDC","T_cell"
"AC007216.4",-0.106,0.509,-0.307,0.369,-0.254,-0.432,-0.97,1.19
"AC007249.2",-0.133,-0.196,0.17,0.362,-0.252,-0.026,-0.323,0.398
"AC007325.2",-0.232,1.038,0.125,-0.165,-0.236,-0.186,-0.166,-0.179
"AC007364.1",-0.246,-0.191,0.63,0.69,-0.101,-0.143,-0.313,-0.327
"AC007383.2",-0.4,0.453,0.884,0.401,-1.283,-0.768,-0.467,1.18
"AC007384.1",3.65,-1.581,-1.704,-1.829,-1.289,0.964,-1,2.788
"AC007388.1",-0.367,0.895,1.623,1.126,-2.297,1.019,-1.684,-0.316
"AC007405.3",-0.646,2.33,-0.603,1.335,-0.677,-0.424,-0.812,-0.503
"AC007406.3",-0.436,-0.399,0.173,2.334,-0.436,-0.393,-0.436,-0.406
"AC007541.1",-0.768,0.068,0.772,1.5,-0.833,-0.572,-0.798,0.632
"AC007563.2",-0.349,0.642,0.114,0.938,-0.35,-0.341,-0.35,-0.305
"AC007569.1",2.387,-0.756,-0.74,-0.724,-0.587,-0.736,1.682,-0.526
"AC007608.3",-0.15,0.313,-0.191,-0.016,-0.195,-0.075,0.126,0.187
"AC007611.1",-0.749,0.064,0.544,0.137,0.032,0.602,-0.154,-0.476
"AC007620.2",-0.227,0.049,0.409,0.392,-0.432,0.475,-0.313,-0.354
"AC007681.1",-0.586,0.688,2.482,-0.313,-0.624,-0.44,-0.624,-0.584
"AC007686.3",0.006,0.23,-0.171,0.061,-0.434,0.012,-0.31,0.605
"AC007743.1",-0.411,0.013,2.092,-0.242,-0.411,-0.295,-0.353,-0.394
"AC007773.1",-0.051,0.705,-0.194,0.149,-0.301,-0.179,-0.283,0.153
"AC007952.4",0.985,-1.172,-1.691,-1.138,-0.49,1.911,1.46,0.135
"AC007998.3",-0.434,-0.377,2.906,-0.426,-0.434,-0.418,-0.434,-0.383
"AC008014.1",1.394,0.466,-0.208,-0.219,-0.926,-0.7,0.789,-0.596
"AC008035.1",0.069,-0.197,-0.292,-0.081,-0.203,-0.01,0.238,0.476
"AC008040.5",0.116,0.103,0.229,0.083,-0.618,-0.479,0.059,0.507
"AC008050.1",-0.308,-0.296,1.826,-0.255,-0.308,-0.05,-0.308,-0.299
"AC008083.2",0.99,-0.596,-0.725,-0.635,-0.862,0.066,-0.065,1.826
"AC008105.1",-0.076,0.672,-0.249,-0.267,-0.355,-0.021,-0.055,0.35
"AC008105.3",0.325,-1.136,-1.388,-0.358,-0.697,0.98,0.042,2.233
"AC008124.1",-0.443,0.529,0.928,0.543,-1.993,-0.798,0.547,0.687
"AC008264.2",-0.266,-0.024,1.356,-0.202,-0.335,-0.224,-0.084,-0.22
"AC008267.5",-0.031,1.325,0.161,0.133,-1.02,-0.014,-0.846,0.291
"AC008393.1",-0.259,1.042,0.515,0.564,-1.009,-0.275,-0.648,0.069
"AC008438.1",-0.125,0.319,0.245,-0.114,-0.992,0.234,-0.414,0.847
"AC008443.5",-0.625,1.168,-0.17,0.731,-0.763,-0.16,-0.733,0.551
"AC008467.1",-0.007,-0.042,-0.103,0.226,-0.261,0.144,-0.161,0.206
"AC008514.1",-0.346,0.128,1.868,-0.324,-0.348,-0.321,-0.348,-0.309
